variavel,importancia_media,importancia_desvio
sulphates,0.23264996610161565,0.05486692047944404
volatile acidity,0.1829097645111489,0.057068379314500435
alcool_por_densidade,0.15064629604931318,0.06637599975365883
total sulfur dioxide,0.09867182271011346,0.05487033815621282
citric acid,0.04306654294445632,0.01913903043095297
density,0.039401519165670064,0.03430703226838299
razao_so2_livre,0.029399151295702974,0.03060658450459915
chlorides,0.02625417210322866,0.016942679819468346
acidez_total,0.026111111111111085,0.01050185298397367
pH,0.01892891118418306,0.02840796212730874
fixed acidity,0.017074518772631938,0.010668712626083954
residual sugar,0.00563511647424256,0.01831347354622428
free sulfur dioxide,-0.006699075274392921,0.021559672732411495
alcohol,-0.008956228956228978,0.002054699838706046
